名字,正文,时间
"
九点十四日落",你这句话过分强调主观能动性，忽视客观因素。看你的年龄，就知道你有多幼稚了 ,20200123-20200207
"
时间沉淀一切81921",你想多了 野味你以为普通老百姓吃的起？那可是政府领导 达官贵人御用哦 ,20200123-20200207
"
是Emma_",也许你的衣服是破的，你的书是破的。但是我的不是！ ,20200123-20200207
"
521傻笨笨",唉，是的，谁不想帮忙啊，该捐款的我们都捐了。但是征用宿舍这个事吧，确实不太妥当。 ,20200123-20200207
"
当地比较可爱漂亮的一个人",那你先去申请把你们宿舍利用起来啊 ,20200123-20200207
"
李凌霄ERHONGWEN",但也等打完仗再处决啊 ,20200123-20200207
"
李凌霄ERHONGWEN",查办那是迟早的事 ,20200123-20200207
"
2Minnnnn",不同意被征用的 干脆你们联名出去抵制吧 然后放病人大街上跑 四处乱走 这样安排可好还上什么学 大家一起完蛋得了 ,20200123-20200207
"
唐硕烽",这种瞒报军情谎报军情，在以往是要斩立决的 ,20200123-20200207
"
云生365",我元旦前就回家了之后一直呆家里可没生病，张口闭口骂人病毒就别搁这装圣母了 ,20200123-20200207
"
时间沉淀一切81921",话说首例可不是吃野味的人哦 前4粒有三个都没去过华南 ,20200123-20200207
"
杨杨杨_Gopeli",跟保护好学生物品有什么关系？又没说不让住，我们都很支持让出来啊，就是想知道怎么处理寝室物品，合理要求很过分吗？ ,20200123-20200207
"
天才V博士",对，很多学生只是说希望物品能妥善保管，没有说不让床位。我觉得你们可以先联系宿管人员，提前打好招呼，如果被征用了，让宿管人员帮你们打包好物品，回校后会好好感谢他们的（你懂的） ,20200123-20200207
"
旋转木马1021771005",早该这样了 ,20200123-20200207
"
金微960427",征收寄宿制的小学，中学的宿舍更方便唉。我们上中学时，因为会换寝室，学期结束会把全部东西带走，大学的话私人物品和贵重物品确实比较多。 ,20200123-20200207
"
改来改去不能用",是的，学校没我在提前告知，我也骂他们很久，，，， ,20200123-20200207
"
我是盐酸呀",有四所市属高校被征用 了解全面一点再出来喷人不好吗 喷子 ,20200123-20200207
"
倾尽所有去爱妳",都让人以死谢罪，谁去领导管理目前这样混乱局面？都什么时候了，在这里逞口舌之快，泄愤有用吗？现在是赶快投入战斗。 ,20200123-20200207
"
安锦流年要坚强",那你睁大眼睛看看，是党校和四所市属高校 ,20200123-20200207
"
时光言语",发布会是必须开的啊，让大家知道情况，病人照样在救的啊 ,20200123-20200207
"
险第三方",如果可以，竞聘的人会从武汉排到到你家门口 ,20200123-20200207
"
当地比较可爱漂亮的一个人",请某些瞎眼人士看清楚我们的愤怒点，并且如果觉得我们该骂，请先把自家捐出去再骂，我愿意被按在地上摩擦 ,20200123-20200207
"
云生365",我敬佩他们我捐钱了，担心一下财产怎么处理就不行？怎么说破烂了，几万块你赔我还是怎么滴？你管好自己吧，站在道德制高点说话就不丢人？ ,20200123-20200207
"
小宅有点小宅",我就是被征用学校的，学校发的通告说征用宿舍 ,20200123-20200207
"
爬爬爬爬爬点点",我觉得评论有一些人是真圣母 学生也没说不支持 宿舍基本物品全在 有一些顾虑怎么了 只希望校方妥善解决就行 真不知道在下面一个二个的就跟现在安排几个病人住你家去 支持一下工作 你同意不 ,20200123-20200207
"
就你会逼逼赖赖",如果开学之后，清理不到位，你想过病毒如果在学生内部爆发的后果么？ ,20200123-20200207
"
snowdrug_Li",f 4别的不行 推卸责任一绝 对 无能就下台????让考上公务员的孩子上 我发现f 4 真的混成绝世老油条了 洗白一绝 ,20200123-20200207
"
JuJonTon",那你现在让你收留一下流浪汉你就不愿意了呢？他们多可怜啊，你家这么多房子借他们住一下不行吗？你这么善良一定不会让人民失望的！ ,20200123-20200207
"
圆圆圈圈lll",不只有党校，还有四所市属高校，闺蜜学校已经下通知了要征用宿舍 ,20200123-20200207
"
邓啊邓诗颖",不，住的就是有人的！昨晚热搜第一，被撤了。搜武汉市属高校应该还能看到 ,20200123-20200207
"
Rupert-Hero",复工复工的，自备口罩上哪买去？？ ,20200123-20200207
"
当地比较可爱漂亮的一个人",既然这么有“觉悟”，干脆把你家捐出来啊 ,20200123-20200207
"
派派派大什么星",我们学生多多少少肯定有东西在宿舍，是个人都担心怎么处理这些东西。你只能喷，无脑喷，既不会换位思考，又不能奉献自己力量！ ,20200123-20200207
"
派派派大什么星",无脑喷子 你是武汉人吗？不好意思 我是????你是武汉大学生吗？不好意思 我是 你是被征用宿舍的那一位吗？不好意思 我是 你只能玩手机喷一喷而已 你能做什么实际行动？ 我虽然是学生 但是我照样捐款 捐口罩 让出宿舍 力量不大 但众人拾柴火焰高。我们学生不是不愿意让出宿舍，而是学校先斩后奏明不明白 ,20200123-20200207
"
V笑女王V",汉口北的业主联名上书了，可以无偿提供商铺给政府做隔离之用，以尽市民之力协助政府度过此关，但是商户通风等条件受限才作罢。 ,20200123-20200207
"
今天也不想睁开眼睛",记住，没有人说一定会在那个位置做得更好，但是既然你在之后岗位就请你尽职尽责做好本分！失职的工作是做了什么工作？ ,20200123-20200207
"
云生365",政府征用了我们事先不知道啊，要是说一声还告诉我们怎么处理物品也不会吐槽啊 ,20200123-20200207
"
509肥宅",作为一名在武汉就读的大学生，我觉得场地不够，征用寝室可以理解，但是我希望政府可以把后续工作做好 比如及时的公布情况，学生的个人物品放置在哪，学生开学之后怎么领取，疫情结束后寝室消毒确保正确使用等等，至少可以开学后能够让我们放心入住 ,20200123-20200207
"
邓啊邓诗颖",武汉高校也被征用了一部分，而且用的就是学生宿舍。热搜被撤了。不信自己搜，武汉市属高校 ,20200123-20200207
"
xuli1198",还洗？ ,20200123-20200207
"
宇宙星空糖",因为用宿舍最省时间，这谁都明白。丢不丢东西，消毒到不到位就看你们学校了，就算不被征用，我们学校假期还总丢东西，你说的完全是学校管理有问题，不是政府决策有问题 ,20200123-20200207
"
snowdrug_Li",呵呵 无能 ,20200123-20200207
"
离去之原c",你又知道了，辅导员都说不征用旁边酒店是因为需要酒店所有人同意，学生就不需要了啊，通知不发先改造就完事了 ,20200123-20200207
"
改来改去不能用",就算征用我家小区，我也愿意搬到外面住，国难当头，你在乎的是什么？床？电脑？ 医生连个卫生巾都没有，你再说什么？ ,20200123-20200207
"
snowdrug_Li",我可以去考公务员 但这样的烂蛀虫我们也不要 ,20200123-20200207
"
喜欢猪猪真是太好了",毕竟特殊时期哎多体谅一些吧 ,20200123-20200207
"
当地比较可爱漂亮的一个人",楼里有些人，不要站在道德制高点说着不痛不痒的话好吧，这么声明大义，也没见把你家贡献出来啊 ,20200123-20200207
"
争啖气17194",没你这么毒的，你妈才脑梗，我没叫喊说不给让不给住，我支持国家政府征用学校宿舍，只是你要体谅人家抱怨的，不要上来就无脑极端！ ,20200123-20200207
"
唱唱畈调",emmm不太一样，我们是分大寝小寝的，进了宿管站就不会有监控的，丢什么东西自己倒霉 ,20200123-20200207
"
邓啊邓诗颖",用的就是学生宿舍。热搜被撤了 ,20200123-20200207
"
邓啊邓诗颖",武汉高校也被征用了一部分，而且用的就是学生宿舍。热搜被撤了 ,20200123-20200207
"
神奇的咩咩哇啦啦",你就是全国人民大骂从武汉流动到外地的移动病毒。别说几件旧衣服旧床单，武汉情况持续发展，你们是不可能有学上。到再次医护增援，其他地区的医院很多也会停诊，到时候你爸妈突发脑梗，你都只能看着他们，懂吗。别人前线拿命拼，医护带着被感染的觉悟，给你平安，你就急着自己几件破烂，你妈都替你丢人 ,20200123-20200207
"
还在原处仍是旧人",大学生宿舍是你家吗？你一年一千多住宿费，你觉得你能在武汉租个年租一千多的房子？大学宿舍本来就是国家政府福利补贴了很多，你一年交了一千多块钱就觉得那是你私人领地了？再说用完之后不会消毒？怎么就不顾你们死活？网上说话也请动动脑子好吗？ ,20200123-20200207
"
snowdrug_Li",呵呵 把无能洗的这么清奇 没本事就下台 少祸国殃民 ,20200123-20200207
"
我是盐酸呀",有四所市属高校被征用 ,20200123-20200207
"
萌萌萌萌萌tori",他们不是在说党校，是武汉市属高校的学生宿舍也被征用了 ,20200123-20200207
"
我是盐酸呀",亲，你好好看看，了解一下再说话不迟 ,20200123-20200207
"
李凌霄ERHONGWEN",没能力能上去吗？他们的失职最后肯定会有定论 ,20200123-20200207
"
521傻笨笨",这就相当于是你在外地工作租的房子，然后你过年回家，然后征用你的房子收住病人。真的一言难尽。如果学校真的能合理安置学生物品（基本不太可能）还行。 ,20200123-20200207
"
改来改去不能用",我觉得，如果国家征用我家小区(属于当地中高档小区)，我也没什么说的，先不管政府滞后哇什么的，国难当头个人财产得失，甚至生命先放下，，，如果医生士兵这时候他们在抱怨死了怎么办？你选这这个职业该你你就得上，特别国难当头，别说我这么牛逼我怎么不捐，我没那么伟大，但是国家需要可以全部拿走 ,20200123-20200207
"
昕昕家的猫不会喵",假的…我一直在武汉，报道说12.8号才发现第一例，之后陆续才发现了，开始研究，我记得是29号开始传李文亮他们的谣言，我看到了就下单了口罩，31号卫健委来的人。 ,20200123-20200207
"
2020如愿上岸吧",你有去网上搜索是怎样征用的吗 没看到有人晒图是用大棚布包住学生的东西吗 ,20200123-20200207
"
微凉的女孩儿",想想华南市场消毒结束十几天病毒检测还有百分之五十几 ,20200123-20200207
"
橙橙橙子还好吗",弹性上班，轮班制可以考虑！ ,20200123-20200207
"
柠檬精小饼干",互相配合，互相理解，早日治好这场疫情 ,20200123-20200207
"
Despair浅殇",这叫带节奏?不要一出现什么就叫带节奏好吧，每次看到评论出现带节奏这三个字就觉得尬的很 ,20200123-20200207
"
沈严__",毕业论文，拿钱也买不到，影响到能否如期毕业，影响工作。。护肤品，花钱就能买到一模一样的。。。现在武汉一感染就是一家，还计较花钱就能买到的护肤品，你要觉得护肤品这么宝贵，我也无话可说。 ,20200123-20200207
"
喜欢猪猪真是太好了",但是我昨晚看评论大家是都知道被征用的啊我觉得这个时候还是不要在意这么多了毕竟国难当头哎 ,20200123-20200207
"
改来改去不能用",如果政府征用我家，可以全部拿走，医生士兵感染死完了，国家需要我什么不会也可以上前线，，国难当头，医生卫生巾都没有，你还想着你的化妆品。在大学宿舍没有多少学生有钱的，不说学校政府会考虑，就算不考虑，就算国家直接征用那些5千到1万的家当，救个人怎么就不行？？？ ,20200123-20200207
"
云生365",我也没那么伟大，我有私心，国家征用当然应该我们也没不会反对，捐了钱还乖乖在家隔离之后就想被征用之后告知我们一声，知道宿舍物品怎么处理就好了 ,20200123-20200207
"
老是想吃东西啊",如果你对中国足球不满意，那你就去踢足球，或者让你孩子去踢足球。 ,20200123-20200207
"
李凌霄ERHONGWEN",有责任就得承担，我不过希望舆论能支持现阶段工作 ,20200123-20200207
"
熊彼特的厨房",既然如此，特殊时期，你们理解一下，不也可以吗？一开始也没用征用，谁也没想到现在情势这样紧急，战时先斩后奏。再说，宿舍已经征用了，如果学校已经帮你们的物品收拾了，那就已经收拾好了，如果没有收拾，那现在在微博喊话，不也迟了嘛？还容易带歪节奏，一群喷子在那儿骂，你也看到了么？ ,20200123-20200207
"
柠檬精小饼干",评论里那么多说学生利益……我想问这场灾难谁的利益不被损害了？房东，让出自己的租金利益，微小企业，不得开工，每个月十几万几十万的……灾难过不去，谁都逃不过，还纠结利益?? ,20200123-20200207
"
天才V博士",如果你们有学校宿管阿姨的电话什么的，可以提前打电话去叮嘱一下，如果真的被征用了，让宿管人员帮你们先打包和保管物品，回校后肯定要好好感谢他们的（你懂的）。 ,20200123-20200207
"
崔希丝6888",武汉大学是部委高校，武汉政府管不着，无权征用吧。 ,20200123-20200207
"
当地比较可爱漂亮的一个人",我麻烦有些人不理解我们的心情，也不要继续雪上加霜好吧，你们一顶顶大帽子扣下来，既然这么孟母，怎么不把你家捐出去呢？ ,20200123-20200207
"
你好我是仙桃",别nm说你行你上，没背景上的去吗 ,20200123-20200207
"
遵纪守法但不是什么好人",事实上，人能多死个几亿对于剩下的人来说可以更好的生存，至于帮助，更多的是怕死到自己身上吧 ,20200123-20200207
"
微凉的女孩儿",你把武汉高校学生宿舍征用了你咋不说 ,20200123-20200207
"
L-zb07000",?现在不是确诊3W了吗，2W还不够呢 ,20200123-20200207
"
熬夜了更帅",你们宿舍楼过道里没监控…… ,20200123-20200207
"
Loooooo--",所以日后承担消毒不完全 卫生不到位的 就活该是我们学生我们学校有废弃的文理学院不用 图书馆不用 教室不用 就非得用学生宿舍 ,20200123-20200207
"
小阿星丫丫",那你安排啊来????你有那能力吗？ ,20200123-20200207
"
白日梦_Alice",我说了啊，可以征用啊，但是你得保护好我的个人财产吧，支不支援是你说得算的吗，你又没有把你家都卖了支援，没有切身感受你说再多都是空话 ,20200123-20200207
"
JuJonTon",害，还不是学的你，吹牛逼不犯法 ,20200123-20200207
"
忘尘君-",把领导都杀了呗，毕竟是一整套体系，你咋不怪中央监管不力，反应不及时呢，官都杀了谢罪 ,20200123-20200207
"
书苏喂",武汉大学生真的惨，回家信息被泄露。现在不通知我们又直接征用宿舍。武汉zf真的棒 ,20200123-20200207
"
lzz_rhh",你能代替百万大学生讲话？你能代表武汉大学生讲话？没一点保障让你突然把内衣内裤展现出来，要你把心爱的鞋子丢了要你把一些有纪念意义的丢了，我们大学生缺的是那个钱？缺的是保障 缺的是尊严 缺的是我们自己的权利 政治学你??屁眼里了？我们要个解释有错吗 ,20200123-20200207
"
墙垣的黑猫",这都两万多床位了吧，武汉到底病了多少人？？ ,20200123-20200207
"
一地鸡毛kaka",在网上天天当个键盘侠 ,20200123-20200207
"
李凌霄ERHONGWEN",理解 ,20200123-20200207
"
当地比较可爱漂亮的一个人",看见楼里不理解的，真的就是征用了学校的学生宿舍，寝室里面的东西已经开始由学校开始打包了，并且我们之前没有任何知情权 ,20200123-20200207
"
间隔比例",论文和护肤品对于个人来说没有什么区别的呀，都是他们重要的东西。 ,20200123-20200207
"
一地鸡毛kaka",你说这些有什么用，你跟国家商量啊，如果国家要求住所，不管我愿不愿意逗必须让出来 ,20200123-20200207
"
海苔络合物",我来看看哪些坏b在敲键盘 ,20200123-20200207
"
改来改去不能用",我觉得，如果国家征用我家小区(属于当地中高档小区)，我也没什么说的，先不管政府滞后哇什么的，国难当头个人财产得失，甚至生命先放下，，，如果医生士兵这时候他们在抱怨死了怎么办？你选这这个职业该你你就得上，特别国难当头，别说我这么牛逼我怎么不捐，我没那么伟大，但是国家需要可以全部拿走 ,20200123-20200207
"
唐硕烽",你们的良心不会痛吗？你们为什么可以洗地武汉政府，洗白湖北政府。你们的良心是肉做的吗？为什么说得出来什么一棒子全打死，他们也在努力奋战。为什么你们可以冷酷到完全忘记死去的患者，奋战的医护，自封在家的市民，举国的支援。这些本不需要的，就是因为湖北政府，武汉政府不作为。 ,20200123-20200207
"
骆马渔夫859",从某个角度来说，你说的没错。不过如果每个人只管自己，那就大家一起玩完，这将是一个何等冷漠的世界？风雨同舟，不只是喊喊口号而已，皮之不存，毛将焉附？ ,20200123-20200207
"
书苏喂",都是私人物品，大学生安全怎么保障 ,20200123-20200207
"
天才V博士",虽然救人第一，情况也很严峻，征用学校也是无奈之举，不过我觉得最起码宿管人员可以帮忙把每个宿舍的物品分别打包编号，等学生回校了自己再领取，也算是最大保护了学生的利益。大多数学生也只是表示要保护好私人物品，没有说不让出床位，都互相体谅和理解下吧。 ,20200123-20200207
"
旭懿Sunny",看到你这回复，给你点个赞。 ,20200123-20200207
"
云生365",我敬佩他们我捐压岁钱了，然后乖乖在家隔离，然后就不能担心一下财产了？又不是不让征用，是不想被征用了还不告知一声怎么处理宿舍物品好叭 ,20200123-20200207
"
爱美的青春",返回去看看我的回复好吗？你自己问我有何感受，我的回答也都是个人感受，我有说你什么嘛也没要求你什么 ,20200123-20200207
"
一百只黑眼圈的熊猫",宿舍都改造完了 ,20200123-20200207
"
小宅有点小宅",就是宿舍 ,20200123-20200207
"
马丁路德king817",讲道理武汉的床位数，重症率，以及公布的确诊数，这个比例…一言难尽 ,20200123-20200207
"
micheaLus",赔偿？国家现在经济损失谁来赔偿？企业滞业的损失谁来赔偿？无辜被感染躺在床上的那些人的命谁来赔偿？你的萝卜丁外星人AJ爱马仕当然很重要 但是在疫情面前 只有疫情控制住了 我们才有机会穿着AJ去踏青 涂着萝卜丁背着爱马仕去见喜欢的人 脱下口罩用外星人打英雄联盟不是吗 ,20200123-20200207
"
李凌霄ERHONGWEN",我有帮他们洗吗，我只不过希望舆论支持防疫工作 ,20200123-20200207
"
maitian2006",中了西方的毒，动不动跟你谈人权，我觉得中国人最让人感动的就是人情大过天，在大是大非面前，大部分善良的人们不计个人得失，不顾个人安危战斗在一线，捐款的捐款捐物的捐物，连我妈一个农村老太太都懂得要为驻村口的村民做点什么 ,20200123-20200207
"
间隔比例",单纯说住宿费。结合周围租房价格，住宿条件和规则。学校宿舍并没有那么便宜。 ,20200123-20200207
"
Highan-",国家都这样了你做啥了？？ ,20200123-20200207
"
不知道改什么名Molly",算算得有两万多床位太好了 ,20200123-20200207
"
神奇的咩咩哇啦啦",武汉控制不住，全国再次增援，全国的三甲医院可能都会不能接诊，到时候，你爸妈脑梗了，都没有医生救治的时候，你在想想你的那几件旧衣服旧床单吧。 ,20200123-20200207
"
庄之烈",政府就是干这个的，做好是它的本分，做不好是它的责任，不然要政府干嘛 ,20200123-20200207
"
失联对讲机",宿舍便宜租金便宜就代表可以被不打一声招呼随便征用？便宜归便宜，我付了钱归我付了钱，我付了租金就等于我在租赁期间内享有对学校宿舍的使用权，这他妈神尼玛的国有场所呢 ,20200123-20200207
"
鹿先生的森林c",你牛逼你上 ,20200123-20200207
"
唐硕烽",你的良心允许你为湖北政府和武汉政府洗了。你的良心真的不会痛吗? ,20200123-20200207
"
喜欢猪猪真是太好了",我昨晚就看了好吧评论里一大部分人是不同意征用宿舍的而且昨晚也有学校名单出来啊你没看吧 说真的如果征用我宿舍我真的很乐意出一份力毕竟国难当头。而且放假时我们辅导员都提醒了宿舍不能留贵重物品 ,20200123-20200207
"
旭懿Sunny",为啥？给出你的理由 ,20200123-20200207
"
十年一梦醉千年",只想湖北省委省政府、武汉市委市政府相关领导以死谢罪，不作为失职渎职，祸国殃民、千古罪人！！ ,20200123-20200207
"
嫣语同行",你理解错我意思了，我是说新浪屏蔽了我很多这样的消息，居然没有屏蔽你的。。 ,20200123-20200207
"
呆梨子阿",国家肯定不会再来个疫情2.0 更何况是大学生 那就是脑阔不清白 ,20200123-20200207
"
萍wink",会不会有湖经呢 ,20200123-20200207
"
范氏咦惹惹",搞不懂 ,20200123-20200207
"
bk呀",就像如果他要征用我家 我肯定同意。 但是他根本不告诉我 等我哪天回家了 发现我家被征用了 这还是物品的问题嘛 ,20200123-20200207
"
奶奶的怪味胡豆",？？？ ,20200123-20200207
"
安德鲁叔叔2",害 ,20200123-20200207
"
李凌霄ERHONGWEN",干不好铁定要被革职，但也要支持武汉政务系统的工作，毕竟舆论风向会把人心带偏 ,20200123-20200207
"
呆梨子阿",你是不是发错人了？？？ ,20200123-20200207
"
茗白白8019m4",火神山1000个床位就知道吧 ,20200123-20200207
"
神奇的咩咩哇啦啦",可不就是，武汉加油，武汉车不许加油。医护加油，医护不许进自己小区。一个个都是宿舍是我家。平时在宿舍勾心斗角的时候宿舍就不是家，这会宿舍就是家了，一个学生交个千把块住一年，国家不知道贴了多少钱。学费一年几千块，都是教授授课，一个月就几百块。不是国家还上什么大学。 ,20200123-20200207
"
茗白白8019m4",谢谢。 ,20200123-20200207
"
Zou一一一",征用的不止党校啊…… ,20200123-20200207
"
茗白白8019m4",说你没脑子还真抖上了，你去阻止啊？ ,20200123-20200207
"
bk呀",如果提前告知学生 我相信绝大部分人都不会有任何意见 ,20200123-20200207
"
个斑马板板",这一共是21145张床位了，加油。 ,20200123-20200207
"
梁轩淇",那你为国家做了什么了嘛？自己什么都没做就不要在这里当圣母，有本事去一线帮助国家安抚病人，不然不要在这里说些有的没的，真讨厌 ,20200123-20200207
"
Zou一一一",不不不就是宿舍 ,20200123-20200207
"
巴扎嘿BAZHA",已经说了是宿舍了 ,20200123-20200207
"
云生365",我又没说不让征用了，但是不应该告知我们并且出了处理宿舍内物品相关措施再征用吗？ ,20200123-20200207
"
南栀茹阴",我就奇怪了我们学生宿舍被征用我们没拒绝也不可能拒绝，怎么还被人道德绑架，人家拒绝的权利没有，难道连吐槽发几句牢骚的权利都没有了？那天你家被征用了你被人道德绑架说你没觉悟试试。 ,20200123-20200207
"
巴扎嘿BAZHA",我的那栋宿舍宿舍每层没有监控，只有外面有监控，只希望他们能够好好的保管我们的私人用品，不要搞不见了就行 ,20200123-20200207
"
宇宙星空糖",说句你不爱听的，现在花费少是因为前期投资多，如果不是政府给钱补贴，你们住宿费怎么可能那么少，食堂怎么可能那么低廉，学费怎么可能那么便宜？ ,20200123-20200207
"
亦醉沉",就是宿舍 ,20200123-20200207
"
是本本本秃利呀",有哪些学校征用啊 ,20200123-20200207
"
bk呀",我求求你用眼睛看看武汉大学生的诉求，根本就不是贵重物品的事情，学校隐瞒情况不告知学生，连到底征用了哪几所学校都不通知，征用寝室的话到底如果处理学生的物品（这涉及到别人的隐私，不只是钱的问题） ,20200123-20200207
"
小雨点五",武汉没有切断传染链条，没有做到应收尽收，很多患者居家隔离，造成家庭交叉感染，不断造成新的感染者。 ,20200123-20200207
"
Cynthia琪儿",虽然也不是我的东西，但是不管是谁心里都会不舒服吧，也不是所有人家里都有经济能力把东西重新买一遍，而且也就是吐槽，也不用上纲上线吧，再说，不管是谁，宿舍里死了人，谁以后住心里都会膈应的吧，人之常情而已 ,20200123-20200207
"
柠檬精小饼干",还有怎么那么多人不明白呢，学校宿舍不是自家盖的，国家补贴学校盖的，别人房子怎么处置还要跟你打报告申请吗？还有担心不消毒完全多余的，用脚趾头想想也不可能不消毒再让学生住进去啊，关于财物什么的，学校只能尽量，毕竟争分夺秒抢救人命，一样一样给你登记不现实，想到自己宿舍可以救几个人，挺好 ,20200123-20200207
"
子蔚寿_vie",什么玩意，这么多人喷大学生，你家被不打招呼征用了当然有权反对。 ,20200123-20200207
"
输入昵称53719",中国东方????千岛之城????封城只需要封桥??????是最安全的城市 ,20200123-20200207
"
旭懿Sunny",多大的体系？ ,20200123-20200207
"
云生365",对啊，我很感谢这些冲在一线的伟人，所以我把压岁钱都捐了。那我担心一下自己的财产安全不可以吗？这又不矛盾 ,20200123-20200207
"
JuJonTon",你说这事是他们大学生的事，你一没有被征用，二考不上大学，你参和什么劲？你要是真的有你说的那么正义，考个大学再来和我们说好不好呀？ ,20200123-20200207
"
巴扎嘿BAZHA",啊枯了，希望学生财务以及私人物品可以保管好 ,20200123-20200207
"
顾宇芳",这就网络暴力了？我特么看你是欠骂了????杠nm ,20200123-20200207
"
灏若无垠",辣鸡营销号，想煽动罢工？别有用心 ,20200123-20200207
"
干了这碗鸡汤面",疫情是可防可控的—王广发 ,20200123-20200207
"
夕夏归人愿清欢",我只不过想让学校看管好个人物品而已，毕竟谁的钱也不是大风刮来的。 而且我觉得这和救助病人并不冲突，和那些奋斗在一线的医生也没有必要比较，难道那些人做了好事儿就活该少东西吗。现在这些都是市属不是重点的学校，像那些武汉的重点大学没人敢动，学校的尿性大家都知道 ,20200123-20200207
"
旭懿Sunny",在那个位子干不好，不换人干啥？ ,20200123-20200207
"
为咸鱼带盐",已经征用了 ,20200123-20200207
"
喜欢猪猪真是太好了",看了啊 我昨晚就看了啊 热评那几个人全在埋怨国家政府 都这个时候了还在担心那些身外之物 ,20200123-20200207
"
聆风听雨37204",笑死我了。我也是大学生。首先放寒假回家你把手机身份证银行卡全部带走，宿舍无非是些衣物和几本书，有什么贵重物品?其次开学开学，你没看见几万例了吗?照武汉这趋势3个月都不一定能开学。就征用一下宿舍这么激动干什么?我也是大学生，我支持征用宿舍，本来就有现成的床位，最简便了。 ,20200123-20200207
"
输入昵称53719",如果是一些没接受系统教育的????老年人????中年人????我完全不会去发表这些言论????????关键是她们都是武汉的大学生????反应了这些大学屎一样的教育 所有党课 政治课全是狗屎 ,20200123-20200207
"
我猪呗",请问你是什么学校 ,20200123-20200207
"
熊彼特的厨房",你现在还能说话，是多少医护人员和其他保障岗位人员日夜奋斗在一线。 ,20200123-20200207
"
陈近南灬丿",卧槽 热评了啊 ,20200123-20200207
"
白日梦_Alice",哦那你就说错了，我就是武汉人本人呢，他们去宿舍治病，你能保证没有素质低下的人吗？实际情况证明有并且不算特别少，那我的东西被翻了不见了我得自己承担损失是吧，你不就是慨他人之慷吗，即使我不是武汉人那宿舍里的东西也是我的私有财产，你征用可以，但侵害我的个人财产就是不对 ,20200123-20200207
"
米粉好吃还是面好吃",学校已经下了通知了 ,20200123-20200207
"
李凌霄ERHONGWEN",希望网络舆论能够帮助防疫工作 ,20200123-20200207
"
输入昵称53719",如果我学校都征用了??????我想中国离灭绝只有一步之遥??????征用我们学校的概率是0.00000000000000后面都不会有那个1 ,20200123-20200207
"
bk呀",你看到他们的诉求了吗？？他们是不让用吗？他们只是想要有知情权，圣母就靠一张嘴在这儿喷别人？ ,20200123-20200207
"
夕夏归人愿清欢",所以我希望学校能看管好学生个人物品是错了吗？一听说被丢了，你都这么着急。现在他们很多学生说是被丢了，真假也不知道，反正看管好个人物品是最重要的。之前我们学校就进来几个修暖气的，整个宿舍全全被翻烂了，锁都撬开了，最后学校根本就根本不管。 ,20200123-20200207
"
那山上的城",节奏喷，举报了，不理论 ,20200123-20200207
"
剧版斗罗不来不改名",武汉商学院江汉大学不是学生住的?能有点常识吗？吃瓜群众 ,20200123-20200207
"
梁轩淇",说到底，就是领导不作为，刚开始不重视！如果早早意识到问题的严重性，不至于成现在这样。 ,20200123-20200207
"
旅店老板娘希尔纳瓦斯",你不满意可以去考公务员 别在这里键盘爱国 ,20200123-20200207
"
Niki99yjl",被改的地方那么多，就党校能有名字，其他的不配？ ,20200123-20200207
"
是想要甜甜的小田啊",我们也是昨天下午通知????昨天下午就开始收了 ,20200123-20200207
"
JuJonTon",巧了，汶川我捐了两套小区给别人住。口嗨我也会。有本事你现在去接一些社会弱势群体来你家，你敢吗？反正人家大学生宿舍也让别人住了，你现在啥都没有做，就在口嗨。唉 ,20200123-20200207
"
昕昕家的猫不会喵",湖北不上报，国家卫健委会来人吗？？只能说一开始专家就判断错误，误导了决策。专家组王广发后来还被感染了呢 ,20200123-20200207
"
355real113",别的省市不知道比你们提前多长时间就这么干了 你们可真磨叽 ,20200123-20200207
"
白眼狼JonSnow",采访中提到关于物资储备和市场供应是指日常生活用品、柴米油盐菜，在大部分市场不会断货。希望大家在被牵鼻子溜之前要关注一下事实。 ,20200123-20200207
"
南栀茹阴",他也没说有谁懂啊，你这话说得。他说当时谁都不清楚这病毒，科研人员都还在研究。官方就通报可防可控，有限人传人。 ,20200123-20200207
"
是想要甜甜的小田啊",没有武汉船舶????是武汉软件工程职业学院????1110间 ,20200123-20200207
"
把酒黄昏后34219",你敢回学校把东西拿走吗？你们的东西，学校肯定会找个地方放，到时候能找回来就找，找不回就不要了。灾难面前谁都有损失，家庭，工作等等，国家损失更是无法估量。大家迫切希望战斗早点结束，你们的宿舍，能给抗疫提供个方便，就牺牲点吧，人家一线工作人员牺牲更大，东西没了大不了再买。 ,20200123-20200207
"
喜欢猪猪真是太好了",如果真的征用了我挺乐意出一份力的不要把所有人都想的跟你们一样 。 ,20200123-20200207
"
熊彼特的厨房",征用，完全没问题 ,20200123-20200207
"
李凌霄ERHONGWEN",气话 ,20200123-20200207
"
落幕wendy",不想喷别的，一千块住宿费真的就只是个床。水电费都是额外充值的。床不是私有财产，可床上的东西都是私有财产。这就是为什么，住校这四年千万不能把宿舍当家。 ,20200123-20200207
"
一条狡猾的玉面小飞龙",没你想的那么简单的，可以延迟谁不想，这是个两难的决定 ,20200123-20200207
"
云生365",先等征用了你宿舍再和我说吧 ,20200123-20200207
